名称,总价（万）,均价,成交日期,位置
融城理想 3室2厅 135.03平米,280,20737元,2018-02-09,高新区
天鹅星座 3室2厅 156.22平米,280,17924元,2018-01-19,青羊
蓝光COCO蜜城 3室2厅 82.57平米,280,33911元,2018-01-24,青羊
银泰泰悦湾 2室2厅 90平米,280,31112元,2017-08-28,高新区
仁恒滨河湾 3室2厅 177平米,280,15846元,2016-03-16,锦江
仁和春天国际花园 3室2厅 145.41平米,280,19256元,2016-11-06,高新区
时代尊邸 3室2厅 158.23平米,280,17696元,2015-12-28,锦江
中海国际社区林庭叠院 5室2厅 138.86平米,280,20165元,2017-09-22,高新西区
万科金色家园 3室2厅 122.29平米,280,22897元,2018-01-27,金牛
时代晶科名苑 3室2厅 154平米,280,18182元,2017-08-10,高新区
粼江峰阁 4室2厅 168.54平米,280,16613元,2016-12-29,锦江
中房金沙海棠 4室2厅 193平米,280,14507元,2016-04-17,青羊
华润凤凰城二期 4室2厅 130.35平米,280,21481元,2017-06-13,高新区
时代豪庭 3室2厅 154.84平米,280,18084元,2017-03-23,锦江
棕榈南岸 3室2厅 162.91平米,280,17188元,2017-11-11,天府新区
鹭岛国际社区三期 3室2厅 167平米,280,16767元,2017-03-05,武侯
童子街庭苑 3室2厅 134.42平米,280,20831元,2017-12-30,青羊
棕北国际 3室1厅 111.65平米,280,25079元,2018-01-08,武侯
华宇蓉国府 3室2厅 130平米,280,21539元,2017-04-06,武侯
南湖国际社区 4室2厅 186平米,280,15054元,2017-10-28,天府新区
两江国际 3室2厅 127.67平米,280,21932元,2017-09-20,高新区
珠江御景湾 4室1厅 153.65平米,280,18224元,2017-12-25,温江
天府长城柏南郡 4室1厅 143.9平米,280,19458元,2017-12-21,高新区
珠江御景湾 4室2厅 163.02平米,280,17176元,2018-01-01,温江
成都花园 3室2厅 125.66平米,280,22283元,2018-01-03,青羊
蓝光公馆1881 3室2厅 186平米,280,15025元,2016-08-31,高新区
融城理想 3室2厅 137.3平米,280,20394元,2017-12-28,高新区
燕沙庭院 4室1厅 138.72平米,280,20185元,2017-12-27,青羊
成都雅居乐花园别墅 4室2厅 315.91平米,280,8864元,2017-08-30,天府新区
上品金沙 3室2厅 162.4平米,280,17242元,2017-06-11,青羊
佳兆业君汇上品 4室2厅 188.09平米,280,14887元,2017-10-22,天府新区
翡翠城五期 3室2厅 88.78平米,280,31539元,2017-12-04,锦江
水漪袅铜 3室2厅 135.98平米,280,20592元,2017-12-23,武侯
铸信境界 4室2厅 140.74平米,280,19895元,2017-12-23,青羊
南湖国际社区 4室2厅 186.5平米,280,15014元,2017-12-21,天府新区
朗御 2室1厅 89平米,280,31461元,2017-12-21,锦江
新鸿基悦城 3室1厅 161.54平米,280,17334元,2017-12-21,天府新区
锦江华庭 3室2厅 127.05平米,280,22039元,2017-12-09,锦江
天涯庭苑 3室2厅 123.81平米,280,22616元,2017-12-07,锦江
凯莱丽景雅筑 4室2厅 200.72平米,280,13950元,2017-12-28,天府新区
神仙树大院三期 4室2厅 177平米,280,15819元,2015-05-16,高新区
无国界 3室2厅 109.88平米,280,25483元,2018-01-29,高新区
神仙树大院 4室2厅 156平米,280,17949元,2017-03-20,高新区
粼江峰阁 4室2厅 208平米,280,13462元,2017-02-16,锦江
万科城市花园 4室3厅 176.57平米,280,15858元,2016-01-14,锦江
优品道 3室2厅 192.84平米,280,14520元,2016-10-31,青羊
时代晶科名苑 4室2厅 175.89平米,280,15919元,2017-01-01,高新区
阳城心灵家园 5室3厅 124.31平米,280,22525元,2017-03-30,青羊
凯德世纪名邸 4室1厅 110.63平米,280,25310元,2017-09-25,高新区
中海兰庭 4室1厅 89.63平米,280,31240元,2017-09-25,高新区
中粮祥云国际生活区三期 4室2厅 185平米,280,15135元,2016-02-01,武侯
时代豪庭 3室2厅 173平米,280,16230元,2016-06-28,锦江
中环岛 3室2厅 123平米,280,22764元,2016-09-22,高新区
中海名城二期 3室2厅 145平米,280,19311元,2017-03-15,高新区
英郡二期 3室2厅 143.53平米,280,19509元,2017-10-12,高新区
中海名城 3室2厅 122.48平米,280,22861元,2017-11-19,高新区
西派国际 3室2厅 153.65平米,279,18132元,2016-07-18,高新区
优品道 4室2厅 183平米,279,15218元,2016-04-01,青羊
时代豪庭 2室2厅 116.28平米,279,23994元,2017-06-03,锦江
晶蓝半岛二期 3室2厅 125.07平米,279,22308元,2017-08-12,锦江
童子街庭苑 4室1厅 156.56平米,279,17837元,2017-07-18,青羊
恒大绿洲 3室2厅 153.74平米,279,18148元,2017-12-27,龙泉
天韵金沙 4室2厅 178.15平米,279,15639元,2017-03-01,青羊
依云镇 6室2厅 228平米,279,12237元,2018-01-28,温江
时代豪庭 3室1厅 172.26平米,279,16196元,2016-06-19,锦江
绿地锦天府 4室2厅 320平米,279,8707元,2016-01-01,锦江
菁华园 4室2厅 190.25平米,279,14639元,2017-09-21,金牛
澳龙名城 3室2厅 118.17平米,279,23611元,2017-09-21,锦江
宏达世纪锦城 4室2厅 134.55平米,279,20721元,2018-01-07,天府新区
世豪瑞丽 4室2厅 140.5平米,278,19787元,2017-08-27,高新区
山顶上 5室3厅 315.44平米,278,8814元,2017-08-12,双流
誉峰 4室2厅 184平米,278,15108元,2016-01-01,高新区
桐梓林欧城 4室2厅 177平米,278,15706元,2015-10-30,武侯
澳龙名城 3室2厅 118.17平米,278,23526元,2017-07-01,锦江
华润凤凰城二期 4室2厅 126.28平米,278,22015元,2017-08-03,高新区
时代尊城 5室2厅 215平米,278,12930元,2015-07-21,青羊
中大君悦金沙四期 3室2厅 131.98平米,278,21064元,2017-04-02,青羊
莱茵河畔 4室2厅 181.95平米,278,15279元,2017-06-06,武侯
世茂城二期 4室3厅 103.43平米,278,26878元,2016-05-13,龙泉
桂溪苑 3室2厅 119平米,278,23328元,2017-06-30,高新区
誉峰 4室2厅 184.37平米,278,15078元,2016-01-18,高新区
天合凯旋城 3室2厅 163平米,278,17055元,2017-03-01,青羊
华府金沙 3室3厅 191.17平米,278,14542元,2015-12-31,青羊
天府欣苑 4室2厅 189平米,278,14709元,2015-05-15,高新区
中华园 3室2厅 152.4平米,278,18242元,2017-11-05,武侯
合能西贵金沙 3室2厅 138.43平米,278,20083元,2017-03-06,青羊
中大君悦金沙 3室2厅 126.05平米,278,22055元,2017-04-11,青羊
雅颂居 3室2厅 137.5平米,278,20219元,2017-03-19,高新区
英郡 3室1厅 128平米,278,21680元,2018-02-08,高新区
世代锦江凯旋门 2室1厅 79.35平米,278,35035元,2018-02-12,锦江
吉宝凌云峰阁 3室1厅 136平米,278,20441元,2017-02-22,锦江
翡翠城五期 3室2厅 89.83平米,278,30948元,2017-10-07,锦江
万科五龙山九墅 4室2厅 199.33平米,278,13947元,2017-12-22,新都
朗御 1室1厅 90平米,278,30889元,2018-01-29,锦江
华润凤凰城三期 4室2厅 152平米,278,18286元,2016-09-26,高新区
仁和春天国际花园 3室2厅 150平米,278,18533元,2017-02-18,高新区
置信丽都花园城(内侧) 4室2厅 165.34平米,278,16814元,2017-09-21,武侯
奥克斯广场 3室2厅 127.36平米,278,21828元,2017-12-17,高新区
成都花园上城 4室2厅 187.86平米,278,14798元,2015-12-18,青羊
中海兰庭 4室2厅 126平米,278,22064元,2017-09-17,高新区
长城园 2室2厅 108平米,278,25704元,2017-11-24,青羊
香木林新城 3室2厅 126平米,278,22064元,2017-10-19,青羊
翡翠城五期 3室2厅 89平米,278,31180元,2017-10-21,锦江
碧华邻 3室2厅 142平米,278,19578元,2017-07-22,青羊
西子香荷 3室2厅 91.16平米,278,30496元,2017-12-09,青羊
誉峰 4室2厅 183.46平米,278,15153元,2015-12-23,高新区
华润二十四城六期 3室2厅 95.71平米,278,29047元,2018-01-16,成华
蜀郡 4室3厅 168平米,278,16548元,2017-02-19,天府新区
世茂玉锦湾 5室2厅 281.36平米,278,9881元,2016-07-22,成华
置信丽都花园C区 4室2厅 225平米,278,12333元,2016-09-27,武侯
保利心语二期 3室2厅 137.88平米,278,20163元,2017-04-28,高新区
锦江东湖花园 5室2厅 152.78平米,277,18131元,2016-05-29,锦江
神仙树大院二期 3室2厅 133.71平米,277,20716元,2017-07-09,高新区
中海金沙府 3室2厅 200平米,277,13850元,2016-01-01,青羊
中海兰庭 5室2厅 150.89平米,277,18358元,2016-06-11,高新区
中海金沙府 3室2厅 199.6平米,277,13878元,2016-01-18,青羊
龙湖三千城 4室2厅 86.5平米,277,32024元,2018-01-05,成华
世纪金沙 3室2厅 129.6平米,277,21343元,2017-04-08,青羊
远大都市风景二期 5室2厅 220平米,277,12591元,2017-08-12,高新区
珠江御景湾 4室2厅 163平米,277,16994元,2017-11-11,温江
新鸿基悦城 3室1厅 141.82平米,277,19532元,2017-12-30,天府新区
融城理想 3室2厅 160.42平米,277,17268元,2018-01-08,高新区
锦水雅居 4室2厅 195平米,276,14153元,2016-04-01,青羊
香瑞湖 4室2厅 254平米,276,10867元,2017-07-11,温江
德馨苑 4室2厅 188.81平米,276,14618元,2017-01-10,锦江
长城半岛城邦二期 6室2厅 275平米,276,10055元,2016-05-26,高新区
金沙西园四期 4室2厅 150平米,276,18400元,2017-03-15,青羊
中海名城 3室2厅 121.65平米,276,22689元,2017-08-31,高新区
双林北横路129号院 4室2厅 207平米,276,13333元,2017-02-26,成华
复地雍湖湾 4室2厅 153.49平米,276,17982元,2016-09-03,高新区
华润金悦湾 4室2厅 205.18平米,276,13452元,2015-11-24,青羊
世纪城天鹅湖 4室2厅 336.83平米,275,8164元,2016-10-20,高新区
新界三期 4室2厅 185平米,275,14854元,2015-07-06,武侯
中海城南华府 2室2厅 134.75平米,275,20408元,2016-07-11,高新区
龙湖世纪峰景 3室2厅 275平米,275,10007元,2016-09-28,高新区
中华园 4室2厅 202.3平米,275,13594元,2016-12-22,武侯
中海城南一号 4室2厅 185平米,275,14864元,2016-01-01,高新区
世纪锦苑 3室2厅 175平米,275,15715元,2017-08-02,武侯
康河郦景三期 4室2厅 227.75平米,275,12075元,2017-02-12,武侯
鹭岛国际社区三期 2室2厅 168.7平米,275,16302元,2017-04-12,武侯
中海城南华府 2室2厅 89.85平米,275,30607元,2017-03-01,高新区
四海逸家三期 4室2厅 96.93平米,275,28371元,2017-05-21,锦江
华侨城纯水岸二期 4室2厅 127平米,275,21654元,2017-08-08,金牛
天府长城嘉南地 4室2厅 131.32平米,275,20942元,2017-11-05,高新区
金沙西园二期 3室2厅 124.21平米,275,22140元,2017-11-21,青羊
远大都市风景 3室2厅 133.62平米,275,20581元,2017-11-21,高新区
中海龙湾半岛 3室2厅 121平米,275,22728元,2017-04-22,武侯
少城府邸 4室2厅 189.75平米,275,14493元,2017-05-10,青羊
中海兰庭 4室2厅 88.34平米,275,31130元,2017-09-08,高新区
龙光天悦龙庭 4室2厅 143平米,275,19231元,2017-09-30,锦江
时光俊园 3室1厅 109.38平米,275,25124元,2017-11-13,青羊
交大归谷国际住区 3室2厅 140平米,275,19643元,2017-08-07,武侯
康河郦景三期 3室2厅 133平米,275,20677元,2017-09-26,武侯
冠城花园二期 3室2厅 148.98平米,275,18459元,2017-10-09,青羊
中海名城三期 3室2厅 131.36平米,275,20905元,2017-08-18,高新区
华侨城东岸 4室2厅 210平米,275,13095元,2016-04-01,金牛
保利花园 3室2厅 132.57平米,275,20744元,2017-08-11,武侯
曦城 3室2厅 131.94平米,275,20843元,2017-10-23,金牛
中德英伦联邦B区 4室2厅 90.59平米,275,30357元,2018-02-01,高新区
中铁双龙湾 4室2厅 151平米,275,18212元,2018-01-13,青羊
比华利国际城 3室2厅 151.05平米,275,18206元,2017-11-01,锦江
碧园公寓 3室2厅 148平米,275,18582元,2018-01-23,金牛
西派国际 4室2厅 164.92平米,275,16675元,2016-06-06,高新区
上海花园 3室2厅 138.74平米,275,19822元,2017-11-08,高新区
成都ICC 3室2厅 176.5平米,275,15581元,2017-02-06,锦江
万科金域蓝湾 4室2厅 152平米,275,18092元,2016-04-01,成华
中海名城三期 3室2厅 128平米,275,21485元,2017-10-10,高新区
西派国际 4室2厅 165平米,275,16666元,2016-03-01,高新区
华润二十四城 3室2厅 124.83平米,275,22030元,2017-09-15,成华
锦江帆影 3室1厅 161.44平米,275,17035元,2017-12-24,高新区
置信丽都玉园天俊 3室2厅 133.88平米,275,20526元,2017-12-24,青羊
卓锦城六期 4室2厅 116.99平米,275,23507元,2017-11-18,锦江
蓉上坊二期 2室1厅 94.45平米,275,29116元,2017-11-30,锦江
香木林新城 3室1厅 121.13平米,275,22728元,2018-01-10,青羊
翡翠城四期 4室2厅 188平米,275,14627元,2016-03-01,锦江
棕北公寓 3室1厅 137.77平米,275,19961元,2017-12-23,武侯
成达佳园 3室1厅 183.32平米,275,15002元,2017-12-18,高新区
康河郦景三期 3室2厅 133.47平米,275,20604元,2017-12-16,武侯
中海九号公馆 4室2厅 170平米,275,16176元,2015-09-12,高新区
中海龙湾半岛 4室2厅 158平米,275,17406元,2017-03-19,武侯
金地花园 4室2厅 240.81平米,275,11420元,2015-12-21,武侯
龙城一号 4室2厅 181平米,275,15194元,2017-09-24,龙泉
时代豪庭 3室2厅 173平米,275,15896元,2015-05-05,锦江
金地花园 4室2厅 216平米,275,12731元,2015-06-12,武侯
龙湖世纪峰景 3室2厅 278平米,275,9908元,2016-09-27,高新区
时代豪庭 3室2厅 173平米,275,15940元,2016-06-28,锦江
神仙树大院三期 4室2厅 157.5平米,275,17460元,2016-11-16,高新区
复地雍湖湾 4室2厅 169.49平米,275,16225元,2016-06-19,高新区
复地雍湖湾 4室2厅 140.88平米,275,19520元,2016-10-01,高新区
三利云锦 3室2厅 130.54平米,275,21067元,2017-11-19,天府新区
中海金沙府 5室2厅 178.52平米,274,15348元,2016-07-18,青羊
华府金沙 5室2厅 191平米,274,14345元,2016-01-01,青羊
中粮香榭丽都 4室2厅 168.86平米,274,16221元,2016-01-10,武侯
吉宝凌云峰阁 2室2厅 99平米,274,27677元,2017-10-24,锦江
仁和春天国际花园 3室2厅 155.43平米,274,17629元,2016-09-15,高新区
天府世家 3室2厅 113.01平米,274,24210元,2016-09-14,高新区
新鸿基悦城 4室2厅 132.46平米,274,20684元,2018-01-07,天府新区
光华锦苑 3室1厅 132.92平米,274,20599元,2017-10-21,青羊
雅颂居 3室2厅 137.57平米,274,19881元,2017-03-19,高新区
中粮祥云国际生活区二期 3室2厅 130平米,274,21077元,2017-09-25,武侯
长城半岛城邦三期 6室2厅 165平米,273,16545元,2015-12-18,高新区
华润凤凰城 3室2厅 125.21平米,273,21804元,2017-10-01,高新区
时代尊邸 4室1厅 162平米,273,16851元,2016-04-01,锦江
万科城市花园 4室2厅 172.02平米,273,15870元,2016-09-13,锦江
中海城南华府 2室2厅 89.82平米,273,30394元,2016-12-24,高新区
时代晶科名苑 3室2厅 143平米,273,19091元,2017-07-29,高新区
交大归谷国际住区 3室2厅 139.19平米,273,19614元,2017-09-11,武侯
中海国际社区林庭叠院 4室2厅 152.7平米,273,17879元,2017-11-01,高新西区
银泰泰悦湾 4室2厅 195.88平米,273,13937元,2016-09-18,高新区
南苑小区 4室2厅 182.85平米,273,14930元,2015-12-13,高新区
成都花园别墅 5室2厅 228.41平米,273,11952元,2016-12-25,青羊
清江花园 4室2厅 270平米,273,10112元,2017-05-03,青羊
龙景花园 3室2厅 138平米,273,19783元,2015-08-03,青羊
清江花园 4室2厅 270平米,273,10112元,2017-05-03,青羊
时代尊城 2室2厅 168.53平米,273,16199元,2016-06-06,青羊
一环路北三段2号院 3室2厅 137.38平米,273,19872元,2017-10-28,金牛
世纪朝阳 3室2厅 126平米,273,21667元,2017-11-28,锦江
中大君悦金沙 3室2厅 114.33平米,273,23879元,2017-10-11,青羊
新鸿基悦城 3室2厅 153.18平米,273,17823元,2017-12-05,天府新区
时代豪庭 2室2厅 112平米,273,24375元,2017-03-01,锦江
世茂玉锦湾 5室2厅 259平米,272,10511元,2016-02-01,成华
晶融汇 1室1厅 70.38平米,272,38648元,2017-11-21,锦江
保利康桥 3室1厅 123.13平米,272,22091元,2017-03-23,成华
中大君悦金沙五期 3室2厅 116.43平米,272,23328元,2017-07-18,青羊
印象金沙 4室2厅 142.32平米,272,19112元,2018-02-04,青羊
天府长城柏南郡 3室2厅 131.32平米,272,20675元,2018-01-25,高新区
碧华邻 3室2厅 125平米,272,21760元,2017-08-29,青羊
龙城一号 4室2厅 209.39平米,272,12991元,2017-08-24,龙泉
王府花园 4室2厅 161.55平米,272,16837元,2017-09-06,高新区
三利云锦 4室2厅 146.01平米,272,18595元,2017-07-28,天府新区
香木林新城 5室2厅 201.71平米,272,13485元,2015-10-25,青羊
中海国际林汀别墅 4室2厅 172.41平米,272,15776元,2017-01-20,高新西区
翡翠城三期 4室2厅 137平米,271,19781元,2017-02-22,锦江
中海城南一号 4室2厅 159平米,271,17044元,2016-02-01,高新区
恒禾皇冠国际社区 5室2厅 149.88平米,271,18082元,2018-01-05,龙泉
金沙云庭 3室2厅 95.68平米,271,28282元,2017-11-20,青羊
华润凤凰城 3室2厅 99.46平米,271,27197元,2018-02-04,高新区
东府小区 3室1厅 120.3平米,271,22528元,2017-08-30,锦江
天悦府 4室2厅 169.31平米,271,16006元,2016-09-04,高新区
保利蝴蝶谷西区 4室2厅 350平米,271,7743元,2015-07-01,新都
优品道 4室2厅 167平米,271,16265元,2016-09-28,青羊
蜀郡一期 4室3厅 263.26平米,270,10256元,2015-04-25,天府新区
三利宅院白云渡 5室3厅 300.69平米,270,8979元,2015-06-08,天府新区
四海逸家蓝钻 5室2厅 124.8平米,270,21619元,2016-01-23,锦江
时代尊邸 3室2厅 176平米,270,15341元,2015-12-12,锦江
华润金悦湾 4室3厅 210.97平米,270,12798元,2016-03-12,青羊
星河名都 3室2厅 150.51平米,270,17939元,2017-01-02,锦江
蓝光公馆1881 5室2厅 216平米,270,12500元,2016-02-01,高新区
南湖国际社区 6室2厅 442平米,270,6108元,2016-04-01,天府新区
丽景华庭二期 4室1厅 164.5平米,270,16414元,2017-08-23,武侯
优品道 4室2厅 227.77平米,270,11854元,2015-12-09,青羊
桐梓林欧城 4室2厅 193.18平米,270,13977元,2015-08-31,武侯
原乡 5室2厅 308.58平米,270,8750元,2016-08-20,天府新区
成都雅居乐花园别墅 3室2厅 316.25平米,270,8538元,2016-10-13,天府新区
金沙园二期 4室2厅 231.9平米,270,11643元,2017-03-10,青羊
时代尊城 4室2厅 183平米,270,14754元,2016-01-01,青羊
康河郦景二期 3室1厅 143平米,270,18882元,2017-10-03,武侯
龙湖世纪峰景 3室2厅 276.09平米,270,9779元,2015-12-01,高新区
中海名城 5室2厅 198平米,270,13636元,2016-04-01,高新区
世代锦江凯旋门 3室2厅 163.26平米,270,16538元,2016-10-22,锦江
绿地锦天府 3室2厅 198平米,270,13636元,2016-06-08,锦江
青云阁 6室2厅 238.07平米,270,11341元,2016-07-02,高新区
水岸汇景 5室2厅 263平米,270,10266元,2016-03-01,金牛
东府小区 3室2厅 120.3平米,270,22444元,2017-06-18,锦江
华润二十四城四期 4室2厅 147平米,270,18368元,2017-03-08,成华
鹭岛国际社区三期 3室2厅 132.36平米,270,20399元,2017-05-22,武侯
望江嘉苑 3室2厅 137.44平米,270,19645元,2017-10-18,锦江
南城都汇二A期 4室2厅 212平米,270,12736元,2017-03-20,高新区
神仙树大院二期 3室2厅 138.46平米,270,19501元,2017-04-25,高新区
天府长城图南多 3室1厅 138.35平米,270,19516元,2017-09-13,高新区
上海花园 3室2厅 137.93平米,270,19576元,2017-11-05,高新区
天府长城嘉南地 4室1厅 131.45平米,270,20541元,2017-10-27,高新区
中德英伦联邦B区 4室2厅 126.59平米,270,21329元,2017-10-27,高新区
绿地锦天府 3室2厅 182.57平米,270,14789元,2016-05-07,锦江
华润凤凰城 3室2厅 134.5平米,270,20075元,2017-09-07,高新区
粼江峰阁 3室2厅 147.47平米,270,18309元,2017-05-17,锦江
翡翠城五期 3室2厅 89平米,270,30338元,2017-08-14,锦江
华都美林湾 6室2厅 195平米,270,13847元,2017-08-14,锦江
仁和世代春天 2室2厅 150.47平米,270,17944元,2017-09-28,青羊
世茂玉锦湾 5室2厅 260平米,270,10385元,2015-08-24,成华
世茂玉锦湾 4室2厅 160平米,270,16875元,2015-08-23,成华
金沙西园二期 4室2厅 141.48平米,270,19084元,2017-03-23,青羊
阳光新业中心 3室2厅 128.89平米,270,20949元,2017-08-23,锦江
粼江峰阁 3室2厅 143.63平米,270,18799元,2017-06-29,锦江
翠微清波 3室2厅 118.17平米,270,22849元,2017-11-26,青羊
远大林语城 4室2厅 160平米,270,16875元,2017-11-27,双流
海成大厦 3室2厅 176.67平米,270,15283元,2018-02-04,锦江
天府长城嘉南地 4室1厅 133.12平米,270,20283元,2017-11-12,高新区
紫檀山 4室3厅 205.72平米,270,13125元,2017-11-13,温江
世纪朝阳 3室2厅 138.25平米,270,19530元,2017-09-10,锦江
国嘉华庭 3室2厅 144.11平米,270,18736元,2018-02-09,青羊
成达佳园 4室2厅 181.46平米,270,14880元,2018-01-21,高新区
世茂城二期 4室2厅 100.53平米,270,26858元,2018-01-24,龙泉
时代尊邸 3室2厅 172.29平米,270,15671元,2015-12-06,锦江
世纪城天鹅湖 3室2厅 198平米,270,13637元,2017-06-22,高新区
保利康桥 4室2厅 197.31平米,270,13684元,2016-07-18,成华
龙湖世纪峰景 3室2厅 280平米,270,9642元,2016-04-16,高新区
中德英伦联邦A区 2室1厅 104.55平米,270,25825元,2017-11-11,高新区
英郡二期 3室2厅 143.53平米,270,18812元,2017-10-13,高新区
保利中心 3室2厅 130平米,270,20770元,2017-03-05,武侯
中海兰庭 4室2厅 88.4平米,270,30543元,2017-10-28,高新区
北京城建龙樾湾 5室2厅 187.1平米,270,14431元,2017-12-06,双流
康河郦景二期 3室2厅 155.89平米,270,17320元,2017-09-15,武侯
南城都汇二B期 3室2厅 139.65平米,270,19335元,2017-12-17,高新区
龙湖世纪峰景 4室2厅 184.23平米,270,14656元,2016-09-14,高新区
华润凤凰城 3室2厅 124平米,270,21775元,2017-12-11,高新区
育才竹岛 3室2厅 151.92平米,270,17773元,2017-12-09,高新区
新沙河阳光水岸 3室2厅 122.03平米,270,22126元,2017-11-25,锦江
康河郦景三期 3室2厅 129.35平米,270,20874元,2018-01-11,武侯
盛南领地 3室2厅 166.46平米,270,16221元,2017-11-24,高新区
粼江峰阁 3室2厅 143平米,270,18882元,2017-07-22,锦江
巷上生活馆 3室2厅 132平米,270,20455元,2017-12-04,武侯
成都花园上城 3室2厅 103平米,270,26214元,2017-12-17,青羊
华美居 4室2厅 160.57平米,270,16816元,2017-12-14,武侯
天祥广场 3室2厅 192.58平米,270,14021元,2017-05-02,青羊
华润二十四城 5室2厅 144.01平米,270,18749元,2016-07-10,成华
翡翠城五期 3室1厅 89.06平米,270,30317元,2018-01-30,锦江
彩叠园1A期 4室2厅 215.96平米,270,12503元,2018-01-17,温江
中华园 4室2厅 230.63平米,270,11707元,2015-11-12,武侯
成都棕榈泉费尔蒙公寓 3室2厅 112.09平米,270,24088元,2017-02-06,高新区
金沙鹭岛 4室2厅 165.02平米,270,16362元,2016-10-29,青羊
蓝光公馆1881 4室2厅 216.26平米,270,12485元,2016-01-08,高新区
鹭岛国际社区二期 3室2厅 151.69平米,270,17800元,2017-04-17,武侯
中海城南一号 4室2厅 185.43平米,270,14561元,2015-08-09,高新区
世纪锦苑 4室2厅 263.2平米,270,10258元,2016-06-30,武侯
天祥广场 3室2厅 192.58平米,270,14021元,2017-05-02,青羊
神仙树大院二期 3室2厅 138.46平米,270,19501元,2017-04-25,高新区
锦城世家 3室1厅 104平米,270,25962元,2017-09-07,金牛
首座 3室2厅 179.04平米,269,15025元,2017-02-25,武侯
中粮祥云国际生活区三期 4室2厅 151平米,269,17815元,2017-01-06,武侯
成都棕榈泉费尔蒙公寓 3室2厅 112.15平米,269,23986元,2016-11-29,高新区
蓉上坊 3室2厅 115.36平米,269,23319元,2017-06-27,锦江
翡翠城二期 3室2厅 152.77平米,269,17608元,2016-11-21,锦江
时代豪庭 3室2厅 172.25平米,269,15605元,2015-07-03,锦江
神仙树大院三期 4室2厅 158平米,269,17067元,2016-09-27,高新区
绿地锦天府 3室2厅 183.82平米,269,14634元,2016-05-18,锦江
中海名城二期 3室2厅 144.5平米,269,18616元,2017-03-15,高新区
仁和春天国际花园 2室2厅 95平米,269,28316元,2017-09-16,高新区
保利百合花园 4室1厅 101平米,269,26674元,2017-08-29,高新区
双林北横路129号院 3室2厅 146.61平米,269,18321元,2017-12-13,成华
中铁双龙湾 4室2厅 143.54平米,269,18741元,2017-12-07,青羊
南苑小区 4室0厅 183平米,268,14645元,2015-08-13,高新区
翠微清波 3室2厅 135.84平米,268,19730元,2017-07-09,青羊
中海九号公馆 2室2厅 89.75平米,268,29861元,2017-09-13,高新区
中粮祥云国际生活区一期 4室2厅 208.71平米,268,12841元,2016-05-10,武侯
柏仕晶舍别墅 3室2厅 177.26平米,268,15119元,2015-12-24,武侯
蓝光凯丽美域 3室2厅 121.71平米,268,22020元,2017-08-05,青羊
华润凤凰城二期 3室2厅 126.86平米,268,21126元,2017-02-28,高新区
芳草地 4室2厅 321平米,268,8349元,2015-09-15,武侯
龙湖世纪峰景 3室2厅 141.1平米,268,18994元,2016-10-24,高新区
绿地锦天府 3室2厅 182.57平米,268,14679元,2016-06-01,锦江
南城都汇二A期 3室2厅 141.73平米,268,18910元,2017-08-16,高新区
中海国际社区林庭叠院 3室1厅 121平米,268,22149元,2017-10-30,高新西区
保利锦湖林语 4室2厅 113.56平米,268,23600元,2017-10-16,高新区
时代豪庭 4室2厅 172.52平米,268,15534元,2015-12-19,锦江
锦官新城西区 6室2厅 293平米,268,9147元,2017-02-04,武侯
浅水半岛 3室1厅 122.8平米,268,21825元,2017-11-11,成华
双楠融域 4室1厅 125.69平米,268,21323元,2018-01-22,武侯
雅颂居 3室2厅 138.55平米,268,19344元,2017-03-13,高新区
置信丽都玉园领邸 3室2厅 161.76平米,268,16568元,2017-11-01,青羊
华润二十四城六期 3室2厅 95.58平米,268,28040元,2018-01-24,成华
中粮祥云国际生活区一期 5室2厅 209.41平米,268,12798元,2016-10-06,武侯
中海锦城二期 4室2厅 140.01平米,268,19142元,2017-11-08,武侯
美丽南庭 3室2厅 120.06平米,268,22323元,2018-01-31,高新区
世茂玉锦湾 4室2厅 160平米,268,16750元,2016-04-01,成华
翡翠城五期 4室2厅 136.11平米,268,19690元,2016-10-09,锦江
中海城南一号 4室2厅 159平米,268,16855元,2016-04-15,高新区
怡丰新城 4室2厅 170平米,268,15765元,2017-11-02,高新区
礼顿山1号 3室2厅 121.83平米,268,21998元,2017-10-18,高新区
神仙树大院二期 3室2厅 133.84平米,268,20024元,2017-06-15,高新区
马鞍北路小区 3室2厅 137平米,268,19563元,2017-03-27,金牛
华润凤凰城 3室2厅 134平米,268,20000元,2017-03-15,高新区
锦官新城西区 6室2厅 293.71平米,268,9125元,2017-02-15,武侯
光华揽胜 2室2厅 73.27平米,268,36550元,2017-12-11,青羊
雅颂居 3室2厅 139.03平米,268,19263元,2017-03-06,高新区
中海名城三期 3室1厅 130平米,268,20616元,2017-08-29,高新区
中海兰庭 4室2厅 88.4平米,268,30317元,2017-12-18,高新区
长城半岛城邦三期 4室2厅 273.18平米,268,9810元,2015-12-27,高新区
神仙树大院二期 3室2厅 138平米,268,19420元,2017-02-22,高新区
蓝光公馆1881 5室2厅 197.74平米,268,13528元,2015-12-31,高新区
龙湖世纪峰景 3室2厅 141平米,268,19008元,2017-04-15,高新区
中海城南华府 4室2厅 186平米,268,14409元,2015-08-22,高新区
中海金沙府 4室2厅 177.26平米,268,15119元,2015-11-29,青羊
天府世家 4室2厅 136.62平米,268,19616元,2016-05-16,高新区
